draw_id;draw_number;draw_sequence;date;day;rule_set;n1;n2;n3;n4;n5;n6;complementary;chance;second_n1;second_n2;second_n3;second_n4;second_n5;source_archive;source_entry
1989013-1;1989013;1;1989-03-29;ME;historic-6-plus-complementary;11;4;19;2;22;13;25;;;;;;;1976-05-to-2008-10;loto.csv
1989013-1;1989013;1;1989-04-01;SA;historic-6-plus-complementary;24;44;1;17;38;40;30;;;;;;;1976-05-to-2008-10;loto.csv
1989014-1;1989014;1;1989-04-05;ME;historic-6-plus-complementary;21;39;31;6;33;8;2;;;;;;;1976-05-to-2008-10;loto.csv
1989014-1;1989014;1;1989-04-08;SA;historic-6-plus-complementary;30;18;42;2;24;17;37;;;;;;;1976-05-to-2008-10;loto.csv
1989015-1;1989015;1;1989-04-12;ME;historic-6-plus-complementary;24;6;16;41;26;19;9;;;;;;;1976-05-to-2008-10;loto.csv
1989015-1;1989015;1;1989-04-15;SA;historic-6-plus-complementary;36;29;34;10;13;19;43;;;;;;;1976-05-to-2008-10;loto.csv
1989016-1;1989016;1;1989-04-19;ME;historic-6-plus-complementary;11;1;10;18;16;25;12;;;;;;;1976-05-to-2008-10;loto.csv
1989016-1;1989016;1;1989-04-22;SA;historic-6-plus-complementary;36;22;6;48;41;2;42;;;;;;;1976-05-to-2008-10;loto.csv
1989017-1;1989017;1;1989-04-26;ME;historic-6-plus-complementary;29;1;8;31;33;34;15;;;;;;;1976-05-to-2008-10;loto.csv
1989017-1;1989017;1;1989-04-29;SA;historic-6-plus-complementary;34;12;5;46;33;43;13;;;;;;;1976-05-to-2008-10;loto.csv
1989018-1;1989018;1;1989-05-03;ME;historic-6-plus-complementary;49;41;42;39;18;2;6;;;;;;;1976-05-to-2008-10;loto.csv
1989018-1;1989018;1;1989-05-06;SA;historic-6-plus-complementary;36;10;46;41;24;8;12;;;;;;;1976-05-to-2008-10;loto.csv
1989019-1;1989019;1;1989-05-10;ME;historic-6-plus-complementary;19;46;38;30;34;1;6;;;;;;;1976-05-to-2008-10;loto.csv
1989019-1;1989019;1;1989-05-13;SA;historic-6-plus-complementary;14;1;34;4;8;45;22;;;;;;;1976-05-to-2008-10;loto.csv
1989020-1;1989020;1;1989-05-17;ME;historic-6-plus-complementary;6;22;24;47;11;49;1;;;;;;;1976-05-to-2008-10;loto.csv
1989020-1;1989020;1;1989-05-20;SA;historic-6-plus-complementary;17;32;36;31;16;29;35;;;;;;;1976-05-to-2008-10;loto.csv
1989021-1;1989021;1;1989-05-24;ME;historic-6-plus-complementary;47;7;35;49;2;30;21;;;;;;;1976-05-to-2008-10;loto.csv
1989021-1;1989021;1;1989-05-27;SA;historic-6-plus-complementary;5;24;45;18;34;27;35;;;;;;;1976-05-to-2008-10;loto.csv
1989022-1;1989022;1;1989-05-31;ME;historic-6-plus-complementary;37;32;19;48;1;41;46;;;;;;;1976-05-to-2008-10;loto.csv
1989022-1;1989022;1;1989-06-03;SA;historic-6-plus-complementary;36;33;47;14;26;48;8;;;;;;;1976-05-to-2008-10;loto.csv
1989023-1;1989023;1;1989-06-07;ME;historic-6-plus-complementary;3;23;26;13;4;11;38;;;;;;;1976-05-to-2008-10;loto.csv
1989023-1;1989023;1;1989-06-10;SA;historic-6-plus-complementary;43;18;4;45;12;7;3;;;;;;;1976-05-to-2008-10;loto.csv
1989024-1;1989024;1;1989-06-14;ME;historic-6-plus-complementary;47;37;27;19;18;43;11;;;;;;;1976-05-to-2008-10;loto.csv
1989024-1;1989024;1;1989-06-17;SA;historic-6-plus-complementary;17;33;28;21;49;27;36;;;;;;;1976-05-to-2008-10;loto.csv
1989025-1;1989025;1;1989-06-21;ME;historic-6-plus-complementary;31;4;20;32;8;42;21;;;;;;;1976-05-to-2008-10;loto.csv
1989025-1;1989025;1;1989-06-24;SA;historic-6-plus-complementary;14;30;34;38;33;12;43;;;;;;;1976-05-to-2008-10;loto.csv
1989026-1;1989026;1;1989-06-28;ME;historic-6-plus-complementary;10;4;25;34;14;47;15;;;;;;;1976-05-to-2008-10;loto.csv
1989026-1;1989026;1;1989-07-01;SA;historic-6-plus-complementary;37;45;4;43;38;41;26;;;;;;;1976-05-to-2008-10;loto.csv
1989027-1;1989027;1;1989-07-05;ME;historic-6-plus-complementary;16;37;36;38;27;43;47;;;;;;;1976-05-to-2008-10;loto.csv
1989027-1;1989027;1;1989-07-08;SA;historic-6-plus-complementary;21;19;38;11;23;9;2;;;;;;;1976-05-to-2008-10;loto.csv
1989028-1;1989028;1;1989-07-12;ME;historic-6-plus-complementary;40;6;23;21;19;35;28;;;;;;;1976-05-to-2008-10;loto.csv
1989028-1;1989028;1;1989-07-15;SA;historic-6-plus-complementary;4;18;30;19;37;2;38;;;;;;;1976-05-to-2008-10;loto.csv
1989029-1;1989029;1;1989-07-19;ME;historic-6-plus-complementary;16;29;28;44;20;38;31;;;;;;;1976-05-to-2008-10;loto.csv
1989029-1;1989029;1;1989-07-22;SA;historic-6-plus-complementary;34;9;44;42;15;26;29;;;;;;;1976-05-to-2008-10;loto.csv
1989030-1;1989030;1;1989-07-26;ME;historic-6-plus-complementary;28;4;3;24;48;38;11;;;;;;;1976-05-to-2008-10;loto.csv
1989030-1;1989030;1;1989-07-29;SA;historic-6-plus-complementary;17;7;18;24;45;10;30;;;;;;;1976-05-to-2008-10;loto.csv
1989031-1;1989031;1;1989-08-02;ME;historic-6-plus-complementary;27;11;49;41;35;48;39;;;;;;;1976-05-to-2008-10;loto.csv
1989031-1;1989031;1;1989-08-05;SA;historic-6-plus-complementary;23;39;44;40;38;42;33;;;;;;;1976-05-to-2008-10;loto.csv
1989032-1;1989032;1;1989-08-09;ME;historic-6-plus-complementary;10;19;20;44;39;6;31;;;;;;;1976-05-to-2008-10;loto.csv
1989032-1;1989032;1;1989-08-12;SA;historic-6-plus-complementary;26;37;8;20;19;9;15;;;;;;;1976-05-to-2008-10;loto.csv
1989033-1;1989033;1;1989-08-16;ME;historic-6-plus-complementary;49;5;40;28;20;16;35;;;;;;;1976-05-to-2008-10;loto.csv
1989033-1;1989033;1;1989-08-19;SA;historic-6-plus-complementary;11;5;46;22;1;34;43;;;;;;;1976-05-to-2008-10;loto.csv
1989034-1;1989034;1;1989-08-23;ME;historic-6-plus-complementary;5;37;19;25;44;10;49;;;;;;;1976-05-to-2008-10;loto.csv
1989034-1;1989034;1;1989-08-26;SA;historic-6-plus-complementary;18;16;31;21;38;40;42;;;;;;;1976-05-to-2008-10;loto.csv
1989035-1;1989035;1;1989-08-30;ME;historic-6-plus-complementary;19;4;46;35;15;17;45;;;;;;;1976-05-to-2008-10;loto.csv
1989035-1;1989035;1;1989-09-02;SA;historic-6-plus-complementary;40;36;34;39;22;41;26;;;;;;;1976-05-to-2008-10;loto.csv
1989036-1;1989036;1;1989-09-06;ME;historic-6-plus-complementary;16;14;46;11;38;27;41;;;;;;;1976-05-to-2008-10;loto.csv
1989036-1;1989036;1;1989-09-09;SA;historic-6-plus-complementary;38;42;23;36;11;3;35;;;;;;;1976-05-to-2008-10;loto.csv
1989037-1;1989037;1;1989-09-13;ME;historic-6-plus-complementary;26;41;25;37;38;45;22;;;;;;;1976-05-to-2008-10;loto.csv
1989037-1;1989037;1;1989-09-16;SA;historic-6-plus-complementary;26;45;46;7;25;8;23;;;;;;;1976-05-to-2008-10;loto.csv
1989038-1;1989038;1;1989-09-20;ME;historic-6-plus-complementary;10;24;46;18;35;4;21;;;;;;;1976-05-to-2008-10;loto.csv
1989038-1;1989038;1;1989-09-23;SA;historic-6-plus-complementary;9;36;42;11;27;23;18;;;;;;;1976-05-to-2008-10;loto.csv
1989039-1;1989039;1;1989-09-27;ME;historic-6-plus-complementary;17;40;30;16;20;38;4;;;;;;;1976-05-to-2008-10;loto.csv
1989039-1;1989039;1;1989-09-30;SA;historic-6-plus-complementary;16;23;43;24;27;26;18;;;;;;;1976-05-to-2008-10;loto.csv
1989040-1;1989040;1;1989-10-04;ME;historic-6-plus-complementary;9;19;45;29;18;31;42;;;;;;;1976-05-to-2008-10;loto.csv
1989040-1;1989040;1;1989-10-07;SA;historic-6-plus-complementary;3;7;13;35;46;27;2;;;;;;;1976-05-to-2008-10;loto.csv
1989041-1;1989041;1;1989-10-11;ME;historic-6-plus-complementary;17;15;5;43;45;7;33;;;;;;;1976-05-to-2008-10;loto.csv
1989041-1;1989041;1;1989-10-14;SA;historic-6-plus-complementary;33;48;28;32;23;17;6;;;;;;;1976-05-to-2008-10;loto.csv
1989042-1;1989042;1;1989-10-18;ME;historic-6-plus-complementary;41;48;23;9;4;29;24;;;;;;;1976-05-to-2008-10;loto.csv
1989042-1;1989042;1;1989-10-21;SA;historic-6-plus-complementary;32;30;1;38;43;40;47;;;;;;;1976-05-to-2008-10;loto.csv
1989043-1;1989043;1;1989-10-25;ME;historic-6-plus-complementary;24;18;15;45;28;3;19;;;;;;;1976-05-to-2008-10;loto.csv
1989043-1;1989043;1;1989-10-28;SA;historic-6-plus-complementary;11;16;5;33;25;19;37;;;;;;;1976-05-to-2008-10;loto.csv
1989044-1;1989044;1;1989-11-01;ME;historic-6-plus-complementary;42;10;47;26;30;49;11;;;;;;;1976-05-to-2008-10;loto.csv
1989044-1;1989044;1;1989-11-04;SA;historic-6-plus-complementary;10;23;29;37;47;12;28;;;;;;;1976-05-to-2008-10;loto.csv
1989045-1;1989045;1;1989-11-08;ME;historic-6-plus-complementary;43;21;19;10;35;46;9;;;;;;;1976-05-to-2008-10;loto.csv
1989045-1;1989045;1;1989-11-11;SA;historic-6-plus-complementary;44;49;11;17;42;16;19;;;;;;;1976-05-to-2008-10;loto.csv
1989046-1;1989046;1;1989-11-15;ME;historic-6-plus-complementary;24;34;29;38;46;2;47;;;;;;;1976-05-to-2008-10;loto.csv
1989046-1;1989046;1;1989-11-18;SA;historic-6-plus-complementary;37;8;14;40;15;28;43;;;;;;;1976-05-to-2008-10;loto.csv
1989047-1;1989047;1;1989-11-22;ME;historic-6-plus-complementary;39;8;32;22;21;16;48;;;;;;;1976-05-to-2008-10;loto.csv
1989047-1;1989047;1;1989-11-25;SA;historic-6-plus-complementary;31;15;49;46;3;41;32;;;;;;;1976-05-to-2008-10;loto.csv
1989048-1;1989048;1;1989-11-29;ME;historic-6-plus-complementary;30;35;11;22;40;1;13;;;;;;;1976-05-to-2008-10;loto.csv
1989048-1;1989048;1;1989-12-02;SA;historic-6-plus-complementary;49;18;11;2;46;20;13;;;;;;;1976-05-to-2008-10;loto.csv
1989049-1;1989049;1;1989-12-06;ME;historic-6-plus-complementary;45;10;33;21;20;37;32;;;;;;;1976-05-to-2008-10;loto.csv
1989049-1;1989049;1;1989-12-09;SA;historic-6-plus-complementary;46;43;25;16;8;18;10;;;;;;;1976-05-to-2008-10;loto.csv
1989050-1;1989050;1;1989-12-13;ME;historic-6-plus-complementary;38;46;6;4;40;34;1;;;;;;;1976-05-to-2008-10;loto.csv
1989050-1;1989050;1;1989-12-16;SA;historic-6-plus-complementary;45;29;20;14;8;36;7;;;;;;;1976-05-to-2008-10;loto.csv
1989051-1;1989051;1;1989-12-20;ME;historic-6-plus-complementary;19;36;7;43;38;2;30;;;;;;;1976-05-to-2008-10;loto.csv
1989051-1;1989051;1;1989-12-23;SA;historic-6-plus-complementary;19;29;32;4;7;44;13;;;;;;;1976-05-to-2008-10;loto.csv
1989052-1;1989052;1;1989-12-27;ME;historic-6-plus-complementary;39;37;20;27;43;45;48;;;;;;;1976-05-to-2008-10;loto.csv
1989052-1;1989052;1;1989-12-30;SA;historic-6-plus-complementary;24;8;13;6;42;2;49;;;;;;;1976-05-to-2008-10;loto.csv
1990001-1;1990001;1;1990-01-03;ME;historic-6-plus-complementary;31;30;5;44;8;6;43;;;;;;;1976-05-to-2008-10;loto.csv
1990001-1;1990001;1;1990-01-06;SA;historic-6-plus-complementary;42;21;20;24;28;18;6;;;;;;;1976-05-to-2008-10;loto.csv
1990002-1;1990002;1;1990-01-10;ME;historic-6-plus-complementary;25;37;26;48;2;11;9;;;;;;;1976-05-to-2008-10;loto.csv
1990002-1;1990002;1;1990-01-13;SA;historic-6-plus-complementary;2;34;42;40;28;48;18;;;;;;;1976-05-to-2008-10;loto.csv
1990003-1;1990003;1;1990-01-17;ME;historic-6-plus-complementary;29;14;37;2;46;38;32;;;;;;;1976-05-to-2008-10;loto.csv
1990003-1;1990003;1;1990-01-20;SA;historic-6-plus-complementary;22;20;9;26;34;32;46;;;;;;;1976-05-to-2008-10;loto.csv
1990004-1;1990004;1;1990-01-24;ME;historic-6-plus-complementary;12;45;11;22;13;34;10;;;;;;;1976-05-to-2008-10;loto.csv
1990004-1;1990004;1;1990-01-27;SA;historic-6-plus-complementary;43;15;28;35;13;17;36;;;;;;;1976-05-to-2008-10;loto.csv
1990005-1;1990005;1;1990-01-31;ME;historic-6-plus-complementary;20;8;28;3;14;25;7;;;;;;;1976-05-to-2008-10;loto.csv
1990005-1;1990005;1;1990-02-03;SA;historic-6-plus-complementary;11;44;31;36;45;48;2;;;;;;;1976-05-to-2008-10;loto.csv
1990006-1;1990006;1;1990-02-07;ME;historic-6-plus-complementary;49;23;21;42;8;4;37;;;;;;;1976-05-to-2008-10;loto.csv
1990006-1;1990006;1;1990-02-10;SA;historic-6-plus-complementary;29;36;10;18;15;7;45;;;;;;;1976-05-to-2008-10;loto.csv
1990007-1;1990007;1;1990-02-14;ME;historic-6-plus-complementary;16;48;49;22;44;23;20;;;;;;;1976-05-to-2008-10;loto.csv
1990007-1;1990007;1;1990-02-17;SA;historic-6-plus-complementary;37;46;23;48;24;38;40;;;;;;;1976-05-to-2008-10;loto.csv
1990008-1;1990008;1;1990-02-21;ME;historic-6-plus-complementary;19;26;1;9;43;3;25;;;;;;;1976-05-to-2008-10;loto.csv
1990008-1;1990008;1;1990-02-24;SA;historic-6-plus-complementary;13;25;6;24;4;19;17;;;;;;;1976-05-to-2008-10;loto.csv
1990009-1;1990009;1;1990-02-28;ME;historic-6-plus-complementary;37;28;41;20;4;3;31;;;;;;;1976-05-to-2008-10;loto.csv
1990009-1;1990009;1;1990-03-03;SA;historic-6-plus-complementary;39;2;10;3;38;14;6;;;;;;;1976-05-to-2008-10;loto.csv
1990010-1;1990010;1;1990-03-07;ME;historic-6-plus-complementary;25;49;8;14;9;35;36;;;;;;;1976-05-to-2008-10;loto.csv
1990010-1;1990010;1;1990-03-10;SA;historic-6-plus-complementary;24;1;23;19;15;49;30;;;;;;;1976-05-to-2008-10;loto.csv
1990011-1;1990011;1;1990-03-14;ME;historic-6-plus-complementary;29;3;38;46;9;20;41;;;;;;;1976-05-to-2008-10;loto.csv
1990011-1;1990011;1;1990-03-17;SA;historic-6-plus-complementary;39;22;19;15;44;27;47;;;;;;;1976-05-to-2008-10;loto.csv
1990012-1;1990012;1;1990-03-21;ME;historic-6-plus-complementary;30;17;2;42;49;45;19;;;;;;;1976-05-to-2008-10;loto.csv
1990012-1;1990012;1;1990-03-24;SA;historic-6-plus-complementary;8;23;22;35;24;13;14;;;;;;;1976-05-to-2008-10;loto.csv
1990013-1;1990013;1;1990-03-28;ME;historic-6-plus-complementary;28;4;20;44;19;46;45;;;;;;;1976-05-to-2008-10;loto.csv
1990013-1;1990013;1;1990-03-31;SA;historic-6-plus-complementary;45;43;20;16;25;21;37;;;;;;;1976-05-to-2008-10;loto.csv
1990014-1;1990014;1;1990-04-04;ME;historic-6-plus-complementary;18;34;6;8;32;2;33;;;;;;;1976-05-to-2008-10;loto.csv
1990014-1;1990014;1;1990-04-07;SA;historic-6-plus-complementary;19;13;11;32;20;38;34;;;;;;;1976-05-to-2008-10;loto.csv
1990015-1;1990015;1;1990-04-11;ME;historic-6-plus-complementary;49;30;18;43;33;37;11;;;;;;;1976-05-to-2008-10;loto.csv
1990015-1;1990015;1;1990-04-14;SA;historic-6-plus-complementary;46;22;27;20;5;37;17;;;;;;;1976-05-to-2008-10;loto.csv
1990016-1;1990016;1;1990-04-18;ME;historic-6-plus-complementary;44;31;48;13;20;14;8;;;;;;;1976-05-to-2008-10;loto.csv
1990016-1;1990016;1;1990-04-21;SA;historic-6-plus-complementary;28;36;8;40;21;17;43;;;;;;;1976-05-to-2008-10;loto.csv
1990017-1;1990017;1;1990-04-25;ME;historic-6-plus-complementary;37;49;11;2;28;17;42;;;;;;;1976-05-to-2008-10;loto.csv
1990017-1;1990017;1;1990-04-28;SA;historic-6-plus-complementary;11;40;3;29;23;12;37;;;;;;;1976-05-to-2008-10;loto.csv
1990018-1;1990018;1;1990-05-02;ME;historic-6-plus-complementary;14;12;36;3;19;28;26;;;;;;;1976-05-to-2008-10;loto.csv
1990018-1;1990018;1;1990-05-05;SA;historic-6-plus-complementary;20;24;30;36;32;29;3;;;;;;;1976-05-to-2008-10;loto.csv
1990019-1;1990019;1;1990-05-09;ME;historic-6-plus-complementary;16;39;32;14;9;45;36;;;;;;;1976-05-to-2008-10;loto.csv
1990019-1;1990019;1;1990-05-12;SA;historic-6-plus-complementary;25;24;7;49;4;46;16;;;;;;;1976-05-to-2008-10;loto.csv
1990020-1;1990020;1;1990-05-16;ME;historic-6-plus-complementary;5;44;26;45;27;47;6;;;;;;;1976-05-to-2008-10;loto.csv
1990020-1;1990020;1;1990-05-19;SA;historic-6-plus-complementary;19;32;34;45;26;16;3;;;;;;;1976-05-to-2008-10;loto.csv
1990021-1;1990021;1;1990-05-23;ME;historic-6-plus-complementary;16;7;40;10;20;47;18;;;;;;;1976-05-to-2008-10;loto.csv
1990021-1;1990021;1;1990-05-26;SA;historic-6-plus-complementary;37;27;2;19;6;47;14;;;;;;;1976-05-to-2008-10;loto.csv
1990022-1;1990022;1;1990-05-30;ME;historic-6-plus-complementary;20;15;41;3;16;38;36;;;;;;;1976-05-to-2008-10;loto.csv
1990022-1;1990022;1;1990-06-02;SA;historic-6-plus-complementary;19;26;32;13;28;37;9;;;;;;;1976-05-to-2008-10;loto.csv
1990023-1;1990023;1;1990-06-06;ME;historic-6-plus-complementary;23;44;17;32;12;15;4;;;;;;;1976-05-to-2008-10;loto.csv
1990023-1;1990023;1;1990-06-09;SA;historic-6-plus-complementary;40;18;39;15;43;12;27;;;;;;;1976-05-to-2008-10;loto.csv
1990024-1;1990024;1;1990-06-13;ME;historic-6-plus-complementary;21;33;36;24;18;6;44;;;;;;;1976-05-to-2008-10;loto.csv
1990024-1;1990024;1;1990-06-16;SA;historic-6-plus-complementary;43;41;31;29;15;22;34;;;;;;;1976-05-to-2008-10;loto.csv
1990025-1;1990025;1;1990-06-20;ME;historic-6-plus-complementary;46;31;16;35;5;15;1;;;;;;;1976-05-to-2008-10;loto.csv
1990025-1;1990025;1;1990-06-23;SA;historic-6-plus-complementary;37;38;31;39;48;18;32;;;;;;;1976-05-to-2008-10;loto.csv
1990026-1;1990026;1;1990-06-27;ME;historic-6-plus-complementary;47;42;29;8;1;41;26;;;;;;;1976-05-to-2008-10;loto.csv
1990026-1;1990026;1;1990-06-30;SA;historic-6-plus-complementary;34;3;37;24;17;4;18;;;;;;;1976-05-to-2008-10;loto.csv
1990027-1;1990027;1;1990-07-04;ME;historic-6-plus-complementary;8;37;49;18;15;17;27;;;;;;;1976-05-to-2008-10;loto.csv
1990027-1;1990027;1;1990-07-07;SA;historic-6-plus-complementary;30;18;46;49;32;21;11;;;;;;;1976-05-to-2008-10;loto.csv
1990028-1;1990028;1;1990-07-11;ME;historic-6-plus-complementary;33;20;29;25;47;35;9;;;;;;;1976-05-to-2008-10;loto.csv
1990028-1;1990028;1;1990-07-14;SA;historic-6-plus-complementary;13;28;6;33;30;43;47;;;;;;;1976-05-to-2008-10;loto.csv
1990029-1;1990029;1;1990-07-18;ME;historic-6-plus-complementary;40;13;46;45;32;23;30;;;;;;;1976-05-to-2008-10;loto.csv
1990029-1;1990029;1;1990-07-21;SA;historic-6-plus-complementary;30;19;1;21;41;8;20;;;;;;;1976-05-to-2008-10;loto.csv
1990030-1;1990030;1;1990-07-25;ME;historic-6-plus-complementary;4;7;16;32;20;45;23;;;;;;;1976-05-to-2008-10;loto.csv
1990030-1;1990030;1;1990-07-28;SA;historic-6-plus-complementary;37;31;33;14;29;44;27;;;;;;;1976-05-to-2008-10;loto.csv
1990031-1;1990031;1;1990-08-01;ME;historic-6-plus-complementary;49;2;45;19;16;43;4;;;;;;;1976-05-to-2008-10;loto.csv
1990031-1;1990031;1;1990-08-04;SA;historic-6-plus-complementary;24;6;19;22;25;40;36;;;;;;;1976-05-to-2008-10;loto.csv
1990032-1;1990032;1;1990-08-08;ME;historic-6-plus-complementary;29;18;37;26;44;1;3;;;;;;;1976-05-to-2008-10;loto.csv
1990032-1;1990032;1;1990-08-11;SA;historic-6-plus-complementary;43;20;17;21;26;18;38;;;;;;;1976-05-to-2008-10;loto.csv
